idx,result,text,clean
0,Neutral,@bumnbersatu @jokowi @ganjarpranowo @Adiprayitno_20 @prabowo @aniesbaswedan Ambil sembakonya jangan pilih/coblos yg memberinya agar tdk balik modal🤣🤣😂, bumnbersatu jokowi ganjarpranowo adiprayitno_ prabowo aniesbaswedan ambil sembakonya jangan pilih coblos yg memberinya agar tdk balik modal 
1,Neutral,"@brajageni666 @_MbakSri_ @Kiyai_MarufAmin @jokowi @mohmahfudmd @ListyoSigitP @prabowo @Menlu_RI @gundala2221 @Gi_N0ng Tempat itu jg prnh jd tempat pengungsian org vietnam saat perang vietnam,org vietnam yg kabur dari negaranya menuju indonesia dijuluki  Manusia perahu,masalah  pengungsian harus tangani internasional,klo di tanggung negara Terutama klo liat situasi saat ini sprtnya malah jd beban", brajageni _mbaksri_ kiyai_marufamin jokowi mohmahfudmd listyosigitp prabowo menlu_ri gundala gi_n ng tempat itu jg prnh jd tempat pengungsian org vietnam saat perang vietnam org vietnam yg kabur dari negaranya menuju indonesia dijuluki manusia perahu masalah pengungsian harus tangani internasional klo di tanggung negara terutama klo liat situasi saat ini sprtnya malah jd beban
2,Neutral,@Dennysiregar7 @psi_id @prabowo @gibran_tweet Lagi musim sinetron dan drama sekarang. https://t.co/tbTkmswoFw, dennysiregar psi_id prabowo gibran_tweet lagi musim sinetron dan drama sekarang 
3,Neutral,@AkuSukses8 @BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Yup. Juara tata kata dan juara debat serta presiden polling😁, akusukses bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela p w _ bengkeldodo propaganda chaves ajengcute __ yup juara tata kata dan juara debat serta presiden polling 
4,Neutral,@golkar_id @prabowo @gibran_tweet Ntar takutnya disetir bapak dari belakang, golkar_id prabowo gibran_tweet ntar takutnya disetir bapak dari belakang
5,Neutral,@Melihat_Indo Memahami bahwa kritik terhadap prabowo gibran berkaitan dengan pengalaman dan kualitas adalah langkah awal dalam evaluasi kepemimpinan., melihat_indo memahami bahwa kritik terhadap prabowo gibran berkaitan dengan pengalaman dan kualitas adalah langkah awal dalam evaluasi kepemimpinan 
6,Neutral,@golkar_id @prabowo @gibran_tweet tim no 1 dah dahh, golkar_id prabowo gibran_tweet tim no dah dahh
7,Neutral,@golkar_id @prabowo @gibran_tweet Yang diterus banyakin hutang yaa, golkar_id prabowo gibran_tweet yang diterus banyakin hutang yaa
8,Neutral,@golkar_id @prabowo @gibran_tweet Wakilnya udah banyak belajar belom tuh?, golkar_id prabowo gibran_tweet wakilnya udah banyak belajar belom tuh 
9,Neutral,@liputan6dotcom Sebetulnya mereka kader kader cerdas dengan bergabung dengan prabowo-  gibran  mungkin mereka  mau mencari jatinya., liputan dotcom sebetulnya mereka kader kader cerdas dengan bergabung dengan prabowo gibran mungkin mereka mau mencari jatinya 
10,Neutral,@drReUtari08 @gibran_tweet @prabowo Karena ada ketidakadilan dan rekayasa hukum memotivasi netizen utk melawan..meskipun sadar bahwa Bapak dan Anak bebal dan tak punya malu, drreutari gibran_tweet prabowo karena ada ketidakadilan dan rekayasa hukum memotivasi netizen utk melawan meskipun sadar bahwa bapak dan anak bebal dan tak punya malu
11,Positive,@KangSemproel Nganuu, kangsemproel nganuu
12,Negative,"@Chaves1305 @prabowo Yg lain lagi cari2 untuk menjelek2an kandidat lainnya, itu strategi di sebelah sana", chaves prabowo yg lain lagi cari untuk menjelek an kandidat lainnya itu strategi di sebelah sana
13,Negative,"@WongAlasRoban Di jilati kok gak masuk om, sekalian cebokin", wongalasroban di jilati kok gak masuk om sekalian cebokin
14,Neutral,"@Redgerbil5 @ZulkifliLubis69 @gibran_tweet @prabowo @aniesbaswedan Kadrun ori, arab pesek wkwkwk😅", redgerbil zulkiflilubis gibran_tweet prabowo aniesbaswedan kadrun ori arab pesek wkwkwk 
15,Negative,"@AriRush5 @tvOneNews Belom tau pak prabowo memberikan beasiswa kpd ribuan anak asuhnya? Artinya prabowo sudah realisasi. Anies ngapain? Ga semua orang bisa diberikan tata kata dapat langsung beli makanan dan susu, klo sudah lapar mau bagaimana?", arirush tvonenews belom tau pak prabowo memberikan beasiswa kpd ribuan anak asuhnya artinya prabowo sudah realisasi anies ngapain ga semua orang bisa diberikan tata kata dapat langsung beli makanan dan susu klo sudah lapar mau bagaimana 
16,Positive,@Dennysiregar7 Kayaknya Prabowo menang pilpres kali ini bang Den...., dennysiregar kayaknya prabowo menang pilpres kali ini bang den 
17,Neutral,"@Dennysiregar7 @psi_id @prabowo @gibran_tweet Dipecat jadi Orang apa , bang ?", dennysiregar psi_id prabowo gibran_tweet dipecat jadi orang apa bang 
18,Negative,"@Wadas_Melawan Lah gila aja kalo warga wadas pilih prabowo, orang yg punya proyek ada di sana", wadas_melawan lah gila aja kalo warga wadas pilih prabowo orang yg punya proyek ada di sana
19,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Sapa Kyainya?, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ sapa kyainya 
20,Positive,"Kang Emil saja yakin Prabowo-Gibran menang satu putaran, mana kalian tidak Guys?   #PrabowoGibran2024  #menangsatuputaran  #Prabowopresiden2024 https://t.co/rJLbJ7S1LD",kang emil saja yakin prabowo gibran menang satu putaran mana kalian tidak guys prabowogibran menangsatuputaran prabowopresiden 
21,Negative,@PandamPamungkas @PartaiSocmed @prabowo Wah iya org' gila kuasa, pandampamungkas partaisocmed prabowo wah iya org gila kuasa
22,Negative,@Melihat_Indo Makin kesini makin keliatan banget Prabowo gibran tidak layak untuk menjadi seorang pemimpin karena kebanyakan melanggar gimna Indonesia mau maju nanti, melihat_indo makin kesini makin keliatan banget prabowo gibran tidak layak untuk menjadi seorang pemimpin karena kebanyakan melanggar gimna indonesia mau maju nanti
23,Neutral,@PDemokrat Bukannkah pilpres itu satu paket capres dan cawapres. Kenapa Partai Demokrat tidak menyebutka  juga cawapresnya? Dan banyak baliho caleg yg saya lihat itu hanya ada foto pak SBY dan Pak Prabowo dipasang bersamaan..., pdemokrat bukannkah pilpres itu satu paket capres dan cawapres kenapa partai demokrat tidak menyebutka juga cawapresnya dan banyak baliho caleg yg saya lihat itu hanya ada foto pak sby dan pak prabowo dipasang bersamaan 
24,Neutral,Sumber: Ratusan Simpatisan PKS Jabar Deklarasi Dukung Prabowo-Gibran https://t.co/y4TtdMOCJG,sumber ratusan simpatisan pks jabar deklarasi dukung prabowo gibran 
25,Negative,"@genx36545403 @prabowo @gibran_tweet Ehh BLOG yg ditiru jangan makannya, tapi tiru pemimpinnya ketika salah tau malu ngundurin diri minimal,kalo nnga bundir pake samurai, bisa ga ditiru?", genx prabowo gibran_tweet ehh blog yg ditiru jangan makannya tapi tiru pemimpinnya ketika salah tau malu ngundurin diri minimal kalo nnga bundir pake samurai bisa ga ditiru 
26,Neutral,@golkar_id @prabowo @gibran_tweet Yang ngibul yang ngibul, golkar_id prabowo gibran_tweet yang ngibul yang ngibul
27,Negative,@Dennysiregar7 @psi_id @prabowo @gibran_tweet Dipecat dan di pidanakan itu yg pas untuk si ade armando mulut comberan 😀, dennysiregar psi_id prabowo gibran_tweet dipecat dan di pidanakan itu yg pas untuk si ade armando mulut comberan 
28,Neutral,@KenapeAje @Dennysiregar7 @psi_id @prabowo @gibran_tweet @yunartowijaya @adearmando61 Celeng udah makan blm . Minta sama PSI dong kan udah komen trs, kenapeaje dennysiregar psi_id prabowo gibran_tweet yunartowijaya adearmando celeng udah makan blm minta sama psi dong kan udah komen trs
29,Positive,"@yangmi3prnew Debat hrs saling sanggah , itu namanya debat , kl tdk itu hanya cakap cakap .alasan yg dibuat buat menutupi malu , Prabowo Gibran hrs kesatria kl tdk mampu , katakan sejujurnya.", yangmi prnew debat hrs saling sanggah itu namanya debat kl tdk itu hanya cakap cakap alasan yg dibuat buat menutupi malu prabowo gibran hrs kesatria kl tdk mampu katakan sejujurnya 
30,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ ANIES gak ada lawan, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ anies gak ada lawan
31,Neutral,"@tvOneNews Ide gagasan anies imin cuma akan akaan dan akaan.. klo Pak Prabowo sudah mulai inplementasi. Ya jauh lah, jadi wajar anies melalui tatakatanya serang 02.", tvonenews ide gagasan anies imin cuma akan akaan dan akaan klo pak prabowo sudah mulai inplementasi ya jauh lah jadi wajar anies melalui tatakatanya serang 
32,Neutral,@Chaves1305 @prabowo Di lantik sbagai CAAAALON SELAMANYAAA 😆😆😆😆😆😆😆😆😆, chaves prabowo di lantik sbagai caaaalon selamanyaaa 
33,Negative,@Chaves1305 Prabowo sumbang Palestine berapa 2 M ?  Sangat Kecil itu bagi yg kekayaannya Terliyunan udah gitu pamer cuma buat dipilih 😅, chaves prabowo sumbang palestine berapa sangat kecil itu bagi yg kekayaannya terliyunan udah gitu pamer cuma buat dipilih 
34,Neutral,@golkar_id @prabowo @gibran_tweet Bersama sama kawal Anies, golkar_id prabowo gibran_tweet bersama sama kawal anies
35,Neutral,"@Ganjar_Mahfud03 @GaweiPeniel Itulah Tweet nya para kadrun  , saya tdk suka bully an begitu walau saya gak dukung Prabowo- Gibran ☺☺☺☺", ganjar_mahfud gaweipeniel itulah tweet nya para kadrun saya tdk suka bully an begitu walau saya gak dukung prabowo gibran 
36,Neutral,@golkar_id @prabowo @gibran_tweet Takut nggak konsisten ntar yaa, golkar_id prabowo gibran_tweet takut nggak konsisten ntar yaa
37,Negative,@henrysubiakto bukannya kebalik..siapa yg selama ini menyerang jokowi sekeluarga dan prabowo? sampai megawati mengingatkan kader dan pendukungnya tdk terus2an menyerang jokowi..mungkin melihat suara ganjar semakin anjlok.jd pura2 baik sok bela jokowi., henrysubiakto bukannya kebalik siapa yg selama ini menyerang jokowi sekeluarga dan prabowo sampai megawati mengingatkan kader dan pendukungnya tdk terus an menyerang jokowi mungkin melihat suara ganjar semakin anjlok jd pura baik sok bela jokowi 
38,Neutral,"@Humaira_balqiss @AritonangHarpen @Chaves1305 @HarnadiHidayat Masa iya sekelas prabowo nyari buzzer begini. Di skakmat mulu sm netizen, ngeles mulu juga wkwk", humaira_balqiss aritonangharpen chaves harnadihidayat masa iya sekelas prabowo nyari buzzer begini di skakmat mulu sm netizen ngeles mulu juga wkwk
39,Neutral,@are_inismyname @bengkeldodo @prabowo @azissubekti @BANGSAygSUJUD @Ndons_Back @Zero8ok @Royan_02 @DarekaRendy @florieliciouss @Kimberley_2024 Sudahlah Nek..Nenek...dah tua...inget umur... https://t.co/GWdZQUDQp3, are_inismyname bengkeldodo prabowo azissubekti bangsaygsujud ndons_back zero ok royan_ darekarendy florieliciouss kimberley_ sudahlah nek nenek dah tua inget umur 
40,Neutral,@hendra_misni @are_inismyname @Ndons_Back @bengkeldodo @BANGSAygSUJUD @Zero8ok @Royan_02 @Kimberley_2024 @florieliciouss @AndreasSolusi @prabowo @Alie_Fahnoor Ndak akan paham..., hendra_misni are_inismyname ndons_back bengkeldodo bangsaygsujud zero ok royan_ kimberley_ florieliciouss andreassolusi prabowo alie_fahnoor ndak akan paham 
41,Neutral,"@Resty_J_Cayah Saya juga dua kali pilih Prabowo Subianto,bahkan hampir 3 kali sebelum ambil Gibran jadi cawapres,saya putuskan sekeluarga milih pak Anies", resty_j_cayah saya juga dua kali pilih prabowo subianto bahkan hampir kali sebelum ambil gibran jadi cawapres saya putuskan sekeluarga milih pak anies
42,Neutral,yuppp prabowo gibran untuk indonesia lebih maju ✌ #PrabowoGibranIstimewa,yuppp prabowo gibran untuk indonesia lebih maju prabowogibranistimewa
43,Neutral,"@are_inismyname @bengkeldodo @prabowo @azissubekti @BANGSAygSUJUD @Ndons_Back @Zero8ok @Royan_02 @DarekaRendy @florieliciouss @Kimberley_2024 Salam perlawanan, salam 3 jari 😇", are_inismyname bengkeldodo prabowo azissubekti bangsaygsujud ndons_back zero ok royan_ darekarendy florieliciouss kimberley_ salam perlawanan salam jari 
44,Neutral,@golkar_id @prabowo @gibran_tweet Nggak penting deh, golkar_id prabowo gibran_tweet nggak penting deh
45,Neutral,"@Ringo15Pansa @genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Gagasan ? Gagasan, visi dan misi seorang @prabowo mudah didapatkan. Banyak gagasan beliau tertuang dlm bentuk buku, contohnya paradoks Indonesia, kepemimpinan militer dll. Gagasan beliau juga banyak disampaikan dlm pidato beliau.""", ringo pansa genx prabowo gibran_tweet jokowi alextham alie_fahnoor andreassolusi are_inismyname bangsaygsujud bank_joee_ bengkeldodo chaves florieliciouss gagasan gagasan visi dan misi seorang prabowo mudah didapatkan banyak gagasan beliau tertuang dlm bentuk buku contohnya paradoks indonesia kepemimpinan militer dll gagasan beliau juga banyak disampaikan dlm pidato beliau 
46,Neutral,"@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Banyak anak muda yang ke Anies Juga , lbh banyak hahaha", genx prabowo gibran_tweet jokowi alextham alie_fahnoor almaghribis andreassolusi are_inismyname bangsaygsujud bank_joee_ bengkeldodo chaves florieliciouss banyak anak muda yang ke anies juga lbh banyak hahaha
47,Neutral,@Setiawa62675011 @berlianidris Ya ndak tahu saya bukan timses Prabowo Gibran. Tanya sama timsesnya aja, setiawa berlianidris ya ndak tahu saya bukan timses prabowo gibran tanya sama timsesnya aja
48,Negative,@99propaganda @prabowo Krna mau kampanye kan, propaganda prabowo krna mau kampanye kan
49,Negative,"@tvOneNews Atas dasar apa mereka bergabung dengan prabowo gibran, padahal itu wadas proyek pusat, sama saja proyek Jokowi, hanya karena itu di wilayah ganjar bukan berarti itu tanggung jawabnya sepenuhnya.  Berarti mereka ini pendukung pesanan ya?", tvonenews atas dasar apa mereka bergabung dengan prabowo gibran padahal itu wadas proyek pusat sama saja proyek jokowi hanya karena itu di wilayah ganjar bukan berarti itu tanggung jawabnya sepenuhnya berarti mereka ini pendukung pesanan ya 
50,Positive,Ini yang perlu dijawab..   Apakah prabowo- gibran lebih baik : - prestasinya? - karakternya? - kompetensinya?,ini yang perlu dijawab apakah prabowo gibran lebih baik prestasinya karakternya kompetensinya 
51,Neutral,@golkar_id @prabowo @gibran_tweet Always AMIN TERBAIK, golkar_id prabowo gibran_tweet always amin terbaik
52,Negative,@GreenpeaceID Kok bukan prabowo yang nginiin program food estate sih??, greenpeaceid kok bukan prabowo yang nginiin program food estate sih 
53,Neutral,@pucuksemmai @nuwuyowo semoga pdip dan prabowo-gibran ga baca twt ini, pucuksemmai nuwuyowo semoga pdip dan prabowo gibran ga baca twt ini
54,Neutral,"Hoaks! Prabowo gagal nyapres, MK kabulkan batas usia capres 70 tahun pada 20 Agustus - ANTARA Bangka Belitung https://t.co/1VW3RMJE5R #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy",hoaks prabowo gagal nyapres mk kabulkan batas usia capres tahun pada agustus antara bangka belitung bersamaindonesiamaju prabowogemoy kodekita gemoy
55,Neutral,"Hoaks! Prabowo gagal nyapres, MK kabulkan batas usia capres 70 tahun pada 20 Agustus - ANTARA Bangka Belitung https://t.co/HetuyYb7q4 #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy",hoaks prabowo gagal nyapres mk kabulkan batas usia capres tahun pada agustus antara bangka belitung bersamaindonesiamaju prabowogemoy kodekita gemoy
56,Neutral,"Hoaks! Prabowo gagal nyapres, MK kabulkan batas usia capres 70 tahun pada 20 Agustus - ANTARA Bangka Belitung https://t.co/l2HcgOjTGV #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy",hoaks prabowo gagal nyapres mk kabulkan batas usia capres tahun pada agustus antara bangka belitung bersamaindonesiamaju prabowogemoy kodekita gemoy
57,Neutral,@golkar_id @prabowo @gibran_tweet agak ga yakin sj, golkar_id prabowo gibran_tweet agak ga yakin sj
58,Neutral,"Hoaks! Prabowo gagal nyapres, MK kabulkan batas usia capres 70 tahun pada 20 Agustus - ANTARA Bangka Belitung https://t.co/umPSWLntay #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy",hoaks prabowo gagal nyapres mk kabulkan batas usia capres tahun pada agustus antara bangka belitung bersamaindonesiamaju prabowogemoy kodekita gemoy
59,Neutral,"Hoaks! Prabowo gagal nyapres, MK kabulkan batas usia capres 70 tahun pada 20 Agustus - ANTARA Bangka Belitung https://t.co/toC9k7U3Q4 #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy",hoaks prabowo gagal nyapres mk kabulkan batas usia capres tahun pada agustus antara bangka belitung bersamaindonesiamaju prabowogemoy kodekita gemoy
60,Neutral,"@drReUtari08 @gibran_tweet @prabowo Kampanye masih panjang, jogad  joged terus, ingat kesehatan Om.", drreutari gibran_tweet prabowo kampanye masih panjang jogad joged terus ingat kesehatan om 
61,Neutral,@99propaganda @prabowo @gibran_tweet Pemenang surepay. https://t.co/XtVpvruowG, propaganda prabowo gibran_tweet pemenang surepay 
62,Negative,@akuratco @Dennysiregar7 @psi_id @prabowo @gibran_tweet Padahal emang partai ini emang ngak benar nyansudah lama....., akuratco dennysiregar psi_id prabowo gibran_tweet padahal emang partai ini emang ngak benar nyansudah lama 
63,Negative,"@Chaves1305 Bani kopong emang sukanya goreng ginian.. Kalo cm bagi2 susu semua capres bisa... Tapi yang punya gagasan.. Berani ditanya apa saja itu cuma kaum kopong no 2 yang gak mampu. Prabowo nyumbang t milyar untuk Palestina yg mana cm 0,5 % dr kekayaanya. Anies? Coba cek dalam  forum", chaves bani kopong emang sukanya goreng ginian kalo cm bagi susu semua capres bisa tapi yang punya gagasan berani ditanya apa saja itu cuma kaum kopong no yang gak mampu prabowo nyumbang milyar untuk palestina yg mana cm dr kekayaanya anies coba cek dalam forum
64,Neutral,"@Wadas_Melawan Dipostingan lain @CNNIndonesia mencantumkan #Ad dalam postingan twitter. Kenapa pada berita Wadas mendukung Prabowo tidak?   Mungkin kelupaan adminnya. Sehat-sehat admin twitternya CNN, tetap fokus saat bekerja, jangan lupa istirahat.", wadas_melawan dipostingan lain cnnindonesia mencantumkan ad dalam postingan twitter kenapa pada berita wadas mendukung prabowo tidak mungkin kelupaan adminnya sehat sehat admin twitternya cnn tetap fokus saat bekerja jangan lupa istirahat 
65,Neutral,@golkar_id @prabowo @gibran_tweet Penerus kebanyakan gimmick, golkar_id prabowo gibran_tweet penerus kebanyakan gimmick
66,Neutral,@golkar_id @prabowo @gibran_tweet Gak beres nih, golkar_id prabowo gibran_tweet gak beres nih
67,Negative,"@alisyarief Jokowi dikagumi (dipilih) waktu itu karena lawannya Prabowo, Prabowo sejak awal tidak diinginkan publik karena banyak kasus kejahatan besar yg dia lakukan dan lagi kecendrungan untuk menjadi otoriter lebih besar ke dia. Tapi ternyata sekarang duanya sama saja.""", alisyarief jokowi dikagumi dipilih waktu itu karena lawannya prabowo prabowo sejak awal tidak diinginkan publik karena banyak kasus kejahatan besar yg dia lakukan dan lagi kecendrungan untuk menjadi otoriter lebih besar ke dia tapi ternyata sekarang duanya sama saja 
68,Neutral,Kalau Prabowo Presiden ini barang menduduki posisi LBP  Gambar sekedar penyedap https://t.co/39ZMypp6uZ,kalau prabowo presiden ini barang menduduki posisi lbp gambar sekedar penyedap 
69,Neutral,"@Leonita_Lestari Saya yakin jika Prabowo-Gibran akan tdk bisa menjawab dengan baik saat Debat jk Program dan janji2nya yg selangit/ngibul jika menang ditanyakan dananya, proses, dan mekanismenya, karena janji2 itu hny terlihat akan bagi2 proyek sesama pendukung", leonita_lestari saya yakin jika prabowo gibran akan tdk bisa menjawab dengan baik saat debat jk program dan janji nya yg selangit ngibul jika menang ditanyakan dananya proses dan mekanismenya karena janji itu hny terlihat akan bagi proyek sesama pendukung
70,Neutral,"@alisyarief Coba si bapak dibisikin pak kamu nanti jadi direktur BUMN, jika pilih prabowo Gibran.""  Langsung tuh balik arah lagi""", alisyarief coba si bapak dibisikin pak kamu nanti jadi direktur bumn jika pilih prabowo gibran langsung tuh balik arah lagi 
71,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Dihati saya cuma ada pak anies, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ dihati saya cuma ada pak anies
72,Neutral,Segala cara dilakukan oleh @prabowo,segala cara dilakukan oleh prabowo
73,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Pak anies selalu dihati, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ pak anies selalu dihati
74,Negative,Ngakak Ngakak  Ngakak Ngakak,ngakak ngakak ngakak ngakak
75,Neutral,@golkar_id @prabowo @gibran_tweet Kebanyakan janji omong kosong, golkar_id prabowo gibran_tweet kebanyakan janji omong kosong
76,Negative,Kapan lagi kan nih main SLOTS modal receh aja bisa dapet MOTOR secara cuma cuma mending gas langsung...  #kungkung88 #infogacor #reels #jakartahariini #pilpres #natal #jokowi #prabowo #GanjarMahfud #AniesMuhaimin2024 #PDIPerjuangan #slotgacor #aremania #slotgacor #hamas #israel https://t.co/XDELLQteoQ,kapan lagi kan nih main slots modal receh aja bisa dapet motor secara cuma cuma mending gas langsung kungkung infogacor reels jakartahariini pilpres natal jokowi prabowo ganjarmahfud aniesmuhaimin pdiperjuangan slotgacor aremania slotgacor hamas israel 
77,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Nomor satu gk ada duanya, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ nomor satu gk ada duanya
78,Negative,Prabowo Jatuh. Belum tarung sudah jatuh. Ga bahaya too.   Lihat video RICK RM¹² MATAKU🤍! #TikTok https://t.co/xCKjWte9oH,prabowo jatuh belum tarung sudah jatuh ga bahaya too lihat video rick rm¹² mataku tiktok 
79,Neutral,"@Dennysiregar7 Buzzer pdi lg cuti nyerang anis, skrg ad job baru nyerang prabowo gibran,", dennysiregar buzzer pdi lg cuti nyerang anis skrg ad job baru nyerang prabowo gibran 
80,Neutral,@driveronline_17 @OfficialDPP_PBB @Beritasatu @prabowo @CNNIndonesia memuat berita yg katanya lalu katanya &amp  direspon publik Indonesia seolah sdh terjadi pembicaraan serius😆😆.  Ingat jaman GusDur yg saat itu akan buka hub diplomatik dg Israel. Tapi sampe skrg tak ada ujung pangkalnya. Sebagian publik Ind mmg suka mengunyah HOAX, driveronline_ officialdpp_pbb beritasatu prabowo cnnindonesia memuat berita yg katanya lalu katanya amp direspon publik indonesia seolah sdh terjadi pembicaraan serius ingat jaman gusdur yg saat itu akan buka hub diplomatik dg israel tapi sampe skrg tak ada ujung pangkalnya sebagian publik ind mmg suka mengunyah hoax
