idx,result,text,clean
81,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Pasangan no 1 gk ada lawan, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ pasangan no gk ada lawan
82,Negative,@Chaves1305 Anies sebelum masuk politik udah mendirikan Indonesia mengajar. Jauh sebelum Prabowo sujud sukur sih., chaves anies sebelum masuk politik udah mendirikan indonesia mengajar jauh sebelum prabowo sujud sukur sih 
83,Negative,"@illberightbacks @convomf @jokowi  @prabowo pak tolong ditindak lanjuti, warga indonesia sudah mulai was-was dan takut untuk banyaknya kemungkinan buruk dimasa depan 🙏.", illberightbacks convomf jokowi prabowo pak tolong ditindak lanjuti warga indonesia sudah mulai was was dan takut untuk banyaknya kemungkinan buruk dimasa depan 
84,Neutral,@akuratco @Dennysiregar7 @psi_id @prabowo @gibran_tweet Berani nggak ya..., akuratco dennysiregar psi_id prabowo gibran_tweet berani nggak ya 
85,Neutral,"@C4k_D3pp Ojo sampe mendoan, pecel, rawon di klaim jugak cak", k_d pp ojo sampe mendoan pecel rawon di klaim jugak cak
86,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Saya cuma mau dukung nomor 1, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ saya cuma mau dukung nomor 
87,Neutral,@Beritasatu Kata Prabowo survei itu tergantung siapa yang bayar 😂, beritasatu kata prabowo survei itu tergantung siapa yang bayar 
88,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Yg jelas jangan lupakan Ulama....., bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ yg jelas jangan lupakan ulama 
89,Neutral,"Prabowo-Gibran Dicurigai Curang, TKN: Kami Dirugikan, padahal Elektabilitas Lagi Tinggi  Klik untuk baca: https://t.co/DlEvjkBdbg  Kompascom+ baca berita tanpa iklan: https://t.co/81WhKL3MGP Download aplikasi: https://t.co/tJhqvVAwAZ https://t.co/DlEvjkBdbg",prabowo gibran dicurigai curang tkn kami dirugikan padahal elektabilitas lagi tinggi klik untuk baca kompascom baca berita tanpa iklan download aplikasi 
90,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Saya setia dengan no 1, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ saya setia dengan no 
91,Negative,@narkosun @cakimiNOW @mohmahfudmd Coret saja lah cawapres model begituan. Gibran pikir sekelas prabowo dan partai kualisinya tunduk sama gibran. Apalgi acara tvOne gak ngaruh coy wong yng punya nya saja mendukung gibran, narkosun cakiminow mohmahfudmd coret saja lah cawapres model begituan gibran pikir sekelas prabowo dan partai kualisinya tunduk sama gibran apalgi acara tvone gak ngaruh coy wong yng punya nya saja mendukung gibran
92,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Saya mah cuma milih no 1, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ saya mah cuma milih no 
93,Neutral,@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Karena asam sulfat https://t.co/OnTCDNVqw2, genx prabowo gibran_tweet jokowi alextham alie_fahnoor almaghribis andreassolusi are_inismyname bangsaygsujud bank_joee_ bengkeldodo chaves florieliciouss karena asam sulfat 
94,Neutral,@bumnbersatu @Dennysiregar7 @psi_id @prabowo @gibran_tweet @adearmando61 Naaahh klo ini lebih masuk akal.., bumnbersatu dennysiregar psi_id prabowo gibran_tweet adearmando naaahh klo ini lebih masuk akal 
95,Neutral,@are_inismyname @Ndons_Back @bengkeldodo @BANGSAygSUJUD @Zero8ok @Royan_02 @Kimberley_2024 @florieliciouss @AndreasSolusi @prabowo @Alie_Fahnoor Gibran kemana tadi malam kok g hadir? Para pendukung di buat repot memoles Gibran.., are_inismyname ndons_back bengkeldodo bangsaygsujud zero ok royan_ kimberley_ florieliciouss andreassolusi prabowo alie_fahnoor gibran kemana tadi malam kok hadir para pendukung di buat repot memoles gibran 
96,Positive,@RagilSemar Alhamdulillah, ragilsemar alhamdulillah
97,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Pikihan saya tetap pasangan no 1, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ pikihan saya tetap pasangan no 
98,Negative,@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Bodoh milih mreka, genx prabowo gibran_tweet jokowi alextham alie_fahnoor almaghribis andreassolusi are_inismyname bangsaygsujud bank_joee_ bengkeldodo chaves florieliciouss bodoh milih mreka
99,Neutral,"@golkar_id @prabowo @gibran_tweet Nggak heran kalo hobi nyuri, nih slogan dipake juga", golkar_id prabowo gibran_tweet nggak heran kalo hobi nyuri nih slogan dipake juga
100,Neutral,@EmelecesEcuador @bahlillahadalia @erickthohir @TsamaraDKI @hendri_NCY @eimeralds @yaniarsim Klo saya sih tetap dukung Prabowo Gibran untuk Indonesia Maju, emelecesecuador bahlillahadalia erickthohir tsamaradki hendri_ncy eimeralds yaniarsim klo saya sih tetap dukung prabowo gibran untuk indonesia maju
101,Negative,"@bengkeldodo @prabowo @genx36545403 @DediMulyadi71 @JordanMihaf @yosephrosario_ @Royan_02 @bentangnegeri @are_inismyname @florieliciouss @BANGSAygSUJUD @Bank_Joee_ Ciri ciri menggunakan SARA, selain rawan konflik anda juga minim sejarah 🫣", bengkeldodo prabowo genx dedimulyadi jordanmihaf yosephrosario_ royan_ bentangnegeri are_inismyname florieliciouss bangsaygsujud bank_joee_ ciri ciri menggunakan sara selain rawan konflik anda juga minim sejarah 
102,Neutral,@drReUtari08 @prabowo @gibran_tweet Pilihan rakyat cerdas bukan pilihan buzzer bayaran https://t.co/iyFc4Mixqd, drreutari prabowo gibran_tweet pilihan rakyat cerdas bukan pilihan buzzer bayaran 
103,Positive,Oligarki politik diperankan oleh Gibran dan Prabowo dengan gemilang. https://t.co/JCtX1HEW1G,oligarki politik diperankan oleh gibran dan prabowo dengan gemilang 
104,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Lagi ada yang caper nih, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ lagi ada yang caper nih
105,Neutral,Gibran dan Prabowo membentuk aliansi dalam oligarki politik yang kuat. https://t.co/tDTLx1cYQv,gibran dan prabowo membentuk aliansi dalam oligarki politik yang kuat 
106,Negative,"@ethadisaputra @Santi11Irma @PKSejahtera Setahu gue ,kubu prabowo tak suka di dukung pks,ini sich akal busuk manusia pendengki.", ethadisaputra santi irma pksejahtera setahu gue kubu prabowo tak suka di dukung pks ini sich akal busuk manusia pendengki 
107,Neutral,Gibran dan Prabowo bersinergi membangun oligarki kekuasaan yang tak terbantahkan. https://t.co/AzvgzTqdxu,gibran dan prabowo bersinergi membangun oligarki kekuasaan yang tak terbantahkan 
108,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Bau bau mencari suara nih, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ bau bau mencari suara nih
109,Neutral,@stela_rdwu @are_inismyname @Kimberley_2024 @Ndons_Back @bengkeldodo @BANGSAygSUJUD @Zero8ok @Royan_02 @florieliciouss @AndreasSolusi @prabowo @Alie_Fahnoor Apa yg di diskusikan! … asam sulfat kah?…. 😂😂😂, stela_rdwu are_inismyname kimberley_ ndons_back bengkeldodo bangsaygsujud zero ok royan_ florieliciouss andreassolusi prabowo alie_fahnoor apa yg di diskusikan asam sulfat kah 
110,Neutral,Oligarki politik diperkuat oleh ambisi besar Gibran dan Prabowo. https://t.co/8pjB8z0N0V,oligarki politik diperkuat oleh ambisi besar gibran dan prabowo 
111,Positive,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ AMIN yang tepat, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ amin yang tepat
112,Neutral,Oligarki politik tercermin dalam kebijakan yang menguntungkan Gibran dan Prabowo. https://t.co/dPOgxM5MTL,oligarki politik tercermin dalam kebijakan yang menguntungkan gibran dan prabowo 
113,Neutral,@golkar_id @prabowo @gibran_tweet Semangat junjung AMIN, golkar_id prabowo gibran_tweet semangat junjung amin
114,Neutral,"@Chaves1305 Anies dan ganjar kampanye mulai 28 November 2023 , kalau prabowo kampanye mulai 2 juni 2009 😁😁😁", chaves anies dan ganjar kampanye mulai november kalau prabowo kampanye mulai juni 
115,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Jangan sampe salab dukung, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ jangan sampe salab dukung
116,Negative,"Di gambar ini, Prabowo bukan sedang mengedipkan mata, tapi memang koordinasi kedua matanya tidak seimbang. Bibir kirinya pun bermasalah.  Ini adalah keniscayaan bagi mereka yg pernah menderita stroke.  Saya tidak ingin memiliki pemimpin tua yang tidak sehat. https://t.co/Uaeg08tM6X",di gambar ini prabowo bukan sedang mengedipkan mata tapi memang koordinasi kedua matanya tidak seimbang bibir kirinya pun bermasalah ini adalah keniscayaan bagi mereka yg pernah menderita stroke saya tidak ingin memiliki pemimpin tua yang tidak sehat 
117,Neutral,@Minietweets_ @XiaoMei_99 Goreng teruuussss...🤮🤮  Salam satu putaran utk P Prabowo Gibran., minietweets_ xiaomei_ goreng teruuussss salam satu putaran utk prabowo gibran 
118,Negative,@papa_loren Waduuh 😅 begitu rusak adab di negeri ini  Sehingga merusak tatanan pemerintahan negara, papa_loren waduuh begitu rusak adab di negeri ini sehingga merusak tatanan pemerintahan negara
119,Positive,"Besok ada berita AMIN dukung capres Prabowo : gemoy banget cik""""",besok ada berita amin dukung capres prabowo gemoy banget cik 
120,Neutral,@KompasTV Pak @prabowo kalo gak mau saling sanggah udah baca berita aja atau yg lebih baik menjadi khotib jum’at @Gerindra, kompastv pak prabowo kalo gak mau saling sanggah udah baca berita aja atau yg lebih baik menjadi khotib jum at gerindra
121,Neutral,Pilih Nomor 2 untuk   #PrabowoPresidenRI24-29  #GibranWakilPresidenRI24-29 #GerindraMenang #2 @prabowo @gerindra IndonesiaMaju https://t.co/4vP4BQZ8KG,pilih nomor untuk prabowopresidenri gibranwakilpresidenri gerindramenang prabowo gerindra indonesiamaju 
122,Negative,"@cryptgems1000x Banyak orang SONGONG bilang buat apa pilih Ganjar? All in Ganjar buat jadi ktua rt, nyadar gak yang mau lo pilih tu siapa klo selain Ganjar Mahfud yg berpengalaman, Prabowo jelas mengerikan tapi wakilnya kek gitu ga punya kredibilitas jg buat apa? Cuma buat makan gaji buta?""", cryptgems banyak orang songong bilang buat apa pilih ganjar all in ganjar buat jadi ktua rt nyadar gak yang mau lo pilih tu siapa klo selain ganjar mahfud yg berpengalaman prabowo jelas mengerikan tapi wakilnya kek gitu ga punya kredibilitas jg buat apa cuma buat makan gaji buta 
123,Neutral,@Projo_Pusat @prabowo @gibran_tweet @budimuni98 @handoko2411 @Gerindra Ngapain loe capek2 ngawal kan sudah ada Pak Lurah yang Kerja keras mengawal Bo Gir... 😜😜😜, projo_pusat prabowo gibran_tweet budimuni handoko gerindra ngapain loe capek ngawal kan sudah ada pak lurah yang kerja keras mengawal bo gir 
124,Neutral,@golkar_id @prabowo @gibran_tweet Woi slogan siapa Indonesia Emas wkwkwk, golkar_id prabowo gibran_tweet woi slogan siapa indonesia emas wkwkwk
125,Positive,@serenade0507 @hipohan @andre_rosiade @prabowo Usul bagus kok..., serenade hipohan andre_rosiade prabowo usul bagus kok 
126,Neutral,Pilih Nomor 2 untuk   #PrabowoPresidenRI24-29  #GibranWakilPresidenRI24-29 #GerindraMenang #2 @prabowo @gerindra IndonesiaMaju  https://t.co/JrXNSw4SAv,pilih nomor untuk prabowopresidenri gibranwakilpresidenri gerindramenang prabowo gerindra indonesiamaju 
127,Negative,@Chaves1305 Heh saudara baru lahir atau memang buta memannya JIS itu yang bikin si prabowo dan si gibran? 😇😇😇😇, chaves heh saudara baru lahir atau memang buta memannya jis itu yang bikin si prabowo dan si gibran 
128,Neutral,@bumi_story @Dennysiregar7 @psi_id @prabowo @gibran_tweet @adearmando61 Kalau kamu setres jangan nonton film dewasa mending ibadah atau rekreasi, bumi_story dennysiregar psi_id prabowo gibran_tweet adearmando kalau kamu setres jangan nonton film dewasa mending ibadah atau rekreasi
129,Positive,@msaid_didu Betul  sekali dan saya bukan buzzer tapi pilihan saya  prabowo- gibran..... generasi muda yang akan mempunyai saluran bakat talenta menuju Indonesia emas ...., msaid_didu betul sekali dan saya bukan buzzer tapi pilihan saya prabowo gibran generasi muda yang akan mempunyai saluran bakat talenta menuju indonesia emas 
130,Neutral,Pilih Nomor 2 untuk   #PrabowoPresidenRI24-29  #GibranWakilPresidenRI24-29 #GerindraMenang #2 @prabowo @gerindra IndonesiaMaju  https://t.co/dYLWBJU5uz,pilih nomor untuk prabowopresidenri gibranwakilpresidenri gerindramenang prabowo gerindra indonesiamaju 
131,Negative,Gimana Pak @prabowo @gibran_tweet @psi_id dilaporkan apa dipecat... Kita pakai LOGIAKA @adearmando61 https://t.co/7KGfl60BZM,gimana pak prabowo gibran_tweet psi_id dilaporkan apa dipecat kita pakai logiaka adearmando 
132,Negative,@PartaiSocmed Justru...orang enggan pilih prabowo karna ada gibran.  orang bilang apa nggak ada orang lain selain keluarga jokowi di indonesia ini., partaisocmed justru orang enggan pilih prabowo karna ada gibran orang bilang apa nggak ada orang lain selain keluarga jokowi di indonesia ini 
133,Neutral,@yusuf_dumdum Karena Prabowo bukan Jokowi. GANJAR MAHFUD yang paling tepat melanjutkan Program2 Jokowi., yusuf_dumdum karena prabowo bukan jokowi ganjar mahfud yang paling tepat melanjutkan program jokowi 
134,Negative,"negara rugi 51 triliun karena prabowo, eh cawapresnya malah cocok jadi pelawak https://t.co/0s1Sh4NYvn",negara rugi triliun karena prabowo eh cawapresnya malah cocok jadi pelawak 
135,Neutral,@Gerindra Pilih prabowo program wadasnya auto dilanjutkan.. pinter.., gerindra pilih prabowo program wadasnya auto dilanjutkan pinter 
136,Negative,"negara rugi 51 triliun karena prabowo, eh cawapresnya malah cocok jadi pelawak https://t.co/K4AK2qSrCv",negara rugi triliun karena prabowo eh cawapresnya malah cocok jadi pelawak 
137,Negative,"@Melihat_Indo Blunder satu ke blunder lain, kubu Prabowo-Gibran kayaknya lagi tough time ya. Kebayang ga sih reaksi masyarakat kalo terus begini? Jadi mikir deh...", melihat_indo blunder satu ke blunder lain kubu prabowo gibran kayaknya lagi tough time ya kebayang ga sih reaksi masyarakat kalo terus begini jadi mikir deh 
138,Neutral,Pilih Nomor 2 untuk   #PrabowoPresidenRI24-29  #GibranWakilPresidenRI24-29 #GerindraMenang #2 @prabowo @gerindra IndonesiaMaju  https://t.co/VOIXpjNbuZ,pilih nomor untuk prabowopresidenri gibranwakilpresidenri gerindramenang prabowo gerindra indonesiamaju 
139,Negative,"negara rugi 51 triliun karena prabowo, eh cawapresnya malah cocok jadi pelawak https://t.co/tyLoLn5JOH",negara rugi triliun karena prabowo eh cawapresnya malah cocok jadi pelawak 
140,Positive,"@Melihat_Indo Kubu Prabowo-Gibran lagi on fire dengan blundernya. Dari KPU sampe Ade Armando, dan sekarang Gibran. Kalo begini terus, elektabilitasnya bisa jatuh bebas nih.", melihat_indo kubu prabowo gibran lagi on fire dengan blundernya dari kpu sampe ade armando dan sekarang gibran kalo begini terus elektabilitasnya bisa jatuh bebas nih 
141,Neutral,@Lopea13 @AnakKampoeng78 @HeriSan74 @bengkeldodo @aniesbaswedan @ganjarpranowo @bundacorla @Alie_Fahnoor @alfatih212426 @alextham878 @Alexemeru @aji_lembu @99propaganda @_NusantaraLand_ @FirdaSyeban @DarekaRendy @wiena_kinasih Tapi itu Kementan kan? Bukan Kemenhan? Pak Prabowo menhan atau Mentan?, lopea anakkampoeng herisan bengkeldodo aniesbaswedan ganjarpranowo bundacorla alie_fahnoor alfatih alextham alexemeru aji_lembu propaganda _nusantaraland_ firdasyeban darekarendy wiena_kinasih tapi itu kementan kan bukan kemenhan pak prabowo menhan atau mentan 
142,Negative,"@TeddGus Kok Masalah NYAWA ternyata receh buat tim prabowo  . . disamain salah ucap nama, jadi ingat cuma karena gagal atur perdagangan bahan obat  https://t.co/82yKHndbFJ", teddgus kok masalah nyawa ternyata receh buat tim prabowo disamain salah ucap nama jadi ingat cuma karena gagal atur perdagangan bahan obat 
143,Negative,"negara rugi 51 triliun karena prabowo, eh cawapresnya malah cocok jadi pelawak https://t.co/osaHr3V3Hz",negara rugi triliun karena prabowo eh cawapresnya malah cocok jadi pelawak 
144,Negative,"@Melihat_Indo Wah, kubu Prabowo-Gibran lagi bikin blunder, nih! Seminggu, banyak banget drama, debat dibatalkan, Ade Armando bikin geger, sampe Gibran nyaranin ibu hamil makan asam sulfat. Bikin geleng-geleng kepala, deh!", melihat_indo wah kubu prabowo gibran lagi bikin blunder nih seminggu banyak banget drama debat dibatalkan ade armando bikin geger sampe gibran nyaranin ibu hamil makan asam sulfat bikin geleng geleng kepala deh 
145,Negative,"negara rugi 51 triliun karena prabowo, eh cawapresnya malah cocok jadi pelawak https://t.co/YpsSxOG9Dd",negara rugi triliun karena prabowo eh cawapresnya malah cocok jadi pelawak 
146,Neutral,@XC1R3NG @prabowo @gibran_tweet Wkwkwk..  👍👍, xc ng prabowo gibran_tweet wkwkwk 
147,Negative,"@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ ngurus kebon singkong aja gagal, mau ngurus negara 🤣", bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ ngurus kebon singkong aja gagal mau ngurus negara 
148,Neutral,"@porosotLeos1 @Dennysiregar7 @psi_id @prabowo @gibran_tweet @ganjarpranowo Itulah mereka... Pingin njatuhin pak ganjar, eh malah dia yg kepleset. Dia nggk tahu kalo kraton jogja itu malati"" nggk bisa dibuat Main2...""", porosotleos dennysiregar psi_id prabowo gibran_tweet ganjarpranowo itulah mereka pingin njatuhin pak ganjar eh malah dia yg kepleset dia nggk tahu kalo kraton jogja itu malati nggk bisa dibuat main 
149,Neutral,Pilih Nomor 2 untuk   #PrabowoPresidenRI24-29  #GibranWakilPresidenRI24-29 #GerindraMenang #2 @prabowo @gerindra IndonesiaMaju  https://t.co/GB8L7qXWVt,pilih nomor untuk prabowopresidenri gibranwakilpresidenri gerindramenang prabowo gerindra indonesiamaju 
150,Negative,negara rugi 51 triliun karena prabowo https://t.co/dElU75rr0E,negara rugi triliun karena prabowo 
151,Neutral,@bengkeldodo @prabowo @genx36545403 @DediMulyadi71 @JordanMihaf @yosephrosario_ @Royan_02 @bentangnegeri @are_inismyname @florieliciouss @BANGSAygSUJUD @Bank_Joee_ Freeport yg harusnya milik papua dijual ama orang ini, bengkeldodo prabowo genx dedimulyadi jordanmihaf yosephrosario_ royan_ bentangnegeri are_inismyname florieliciouss bangsaygsujud bank_joee_ freeport yg harusnya milik papua dijual ama orang ini
152,Neutral,@VIVAcoid Viva jangan ngaco Kaesang gak nyebut Ade Armando, vivacoid viva jangan ngaco kaesang gak nyebut ade armando
153,Neutral,Sokin langsung ke KUNGKUNG88 banyak bonus setiap harinya bosku...  #kungkung88 #infogacor #reels #jakartahariini #pilpres #natal #jokowi #prabowo #GanjarMahfud #AniesMuhaimin2024 #PDIPerjuangan #slotgacor #aremania #slotgacor #buket #pilpres2024 #prabowogibran #worldcup https://t.co/nnU4mQN3ky,sokin langsung ke kungkung banyak bonus setiap harinya bosku kungkung infogacor reels jakartahariini pilpres natal jokowi prabowo ganjarmahfud aniesmuhaimin pdiperjuangan slotgacor aremania slotgacor buket pilpres prabowogibran worldcup 
154,Negative,"@BANGSAygSUJUD @99propaganda @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Chaves1305 @bengkeldodo @P4P4B0W0_2024 @Kimberley_2024 Dulu saat lawannya jokowi, beliau dihina dina kan, skrg saat beliau dpt dukungan jokowi dg mndpt pendamping yaitu anaknya, kalian lgs mendukung prabowo 100%. Jd yg kalian dukung itu sebenarnya siapa? #seriusnanya", bangsaygsujud propaganda alextham lembayung minietweets_ mpoklela chaves bengkeldodo p w _ kimberley_ dulu saat lawannya jokowi beliau dihina dina kan skrg saat beliau dpt dukungan jokowi dg mndpt pendamping yaitu anaknya kalian lgs mendukung prabowo jd yg kalian dukung itu sebenarnya siapa seriusnanya
155,Neutral,"@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ cie cie... pake GusDUR egh... maksudnya gusDUR itu prabowo ikhlas ditinggal istrinya, bukan untuk jadi Presiden... hahahahhahaha", bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ cie cie pake gusdur egh maksudnya gusdur itu prabowo ikhlas ditinggal istrinya bukan untuk jadi presiden hahahahhahaha
156,Neutral,Pak @prabowo &amp  bro @gibran_tweet,pak prabowo amp bro gibran_tweet
157,Negative,"@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Kenapa anak muda pilih Wowo sayur blimbing krna anak muda nya tolol dan buta informasi juga bisa di bayar, itu lah alasan yg pasti", genx prabowo gibran_tweet jokowi alextham alie_fahnoor almaghribis andreassolusi are_inismyname bangsaygsujud bank_joee_ bengkeldodo chaves florieliciouss kenapa anak muda pilih wowo sayur blimbing krna anak muda nya tolol dan buta informasi juga bisa di bayar itu lah alasan yg pasti
158,Negative,"@ab_adikumara @neohistoria_id emang gak butuh kok ,blok  siapa yang minta suara lu?kalo g suka g usah di pilih cuihh", ab_adikumara neohistoria_id emang gak butuh kok blok siapa yang minta suara lu kalo suka usah di pilih cuihh
159,Neutral,@Nightingaler02 @Anak__Ogi @gibran_tweet @prabowo @ganjarpranowo Emang punya ??, nightingaler anak__ogi gibran_tweet prabowo ganjarpranowo emang punya 
160,Neutral,@golkar_id @prabowo @gibran_tweet Bersama AMIN Indonesia AMAN, golkar_id prabowo gibran_tweet bersama amin indonesia aman
